url,product_name,current_price,product_code,category,specifications
https://phongvu.vn/laptop-asus-rog-strix-g16-g614pm-s5181ws--s260300914,Laptop Asus ROG Strix G16 G614PM-S5181WS (Ryzen 9 8940HX/ GeForce RTX™ 5060/ 16GB/ 1TB/ Win 11 Home),48990000,260300914,Laptop,"{""Thương hiệu"": ""Asus"", ""Bảo hành"": ""24 tháng"", ""Series model"": ""Asus ROG"", ""Tên"": ""ROG Strix G16 G614PM-S5181WS"", ""Part-number"": ""90NR0KW7-M009E0"", ""Màu sắc"": ""Đen"", ""Nhu cầu"": ""Gaming"", ""CPU"": ""AMD Ryzen™ 9 8940HX ( 2.4 GHz - 5.3 GHz / 64MB / 16 nhân, 32 luồng ), AMD"", ""Chip đồ họa"": ""GeForce RTX™ 5060 8GB GDDR7 ( 1610MHz , 115W , AMD Radeon™ Graphics"", ""Màn hình"": ""16\"" ( 2560 x 1600 ) WQXGA 16:10 , IPS , 240Hz , không cảm ứng , 500 nits , 100% DCI-P3 , Màn hình chống lóa , G-Sync"", ""Webcam"": ""FHD webcam"", ""Ram"": ""1 x 16GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB )"", ""Lưu trữ"": ""1TB SSD M.2 NVMe ( 2 x M.2 NVMe )"", ""Cổng kết nối"": ""2 x USB Type C / DisplayPort / Power Delivery\n2 x USB 3.2\nAudio combo\n1 x HDMI"", ""Âm thanh"": ""Dolby Atmos"", ""Kết nối không dây"": ""Wi-Fi 6E (802.11ax) , Bluetooth 5.3"", ""Bàn phím"": ""Bàn phím Chiclet với phím Copilot , có phím số , RGB 4 vùng"", ""Hệ điều hành"": ""Windows 11 Home"", ""Kích thước"": ""35.4 x 26.4 x 2.26 ~ 3.04 cm"", ""Pin"": ""4 cell 90 Wh , Pin liền"", ""Khối lượng"": ""2.5 kg"", ""Đèn LED trên máy"": ""không đèn""}"
https://phongvu.vn/laptop-msi-cyborg-15-a13uc-2082vn--s251012466,Laptop Msi Cyborg 15 A13UC-2082VN (i7-13620H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SEA),26490000,251012466,Laptop,{}
https://phongvu.vn/laptop-asus-expertbook-p5-p5405csa-nz0016w--s250902468,Laptop Asus ExpertBook P5 P5405CSA-NZ0016W (Ultra 5-226V/ 16GB/ 512GB/ Win 11 Home),27490000,250902468,Laptop,"{""Thương hiệu"": ""Asus"", ""Bảo hành"": ""24 tháng"", ""Series model"": ""ASUS ExpertBook"", ""Tên"": ""ExpertBook P5 P5405CSA-NZ0016W"", ""Part-number"": ""90NX0861-M00KN0"", ""Màu sắc"": ""Xám"", ""Nhu cầu"": ""Doanh nghiệp"", ""CPU"": ""Intel® Core™ Ultra 5-226V ( 2.1 GHz - 4.5 GHz / 8MB / 8 nhân, 8 luồng ), Intel AI"", ""NPU"": ""Intel® AI Boost 40 TOPS"", ""Chip đồ họa"": ""Intel® Graphics"", ""Màn hình"": ""14\"" ( 2560 x 1600 ) WQXGA 16:10 , 144Hz , không cảm ứng , 400 nits , 100% sRGB , Màn hình chống lóa"", ""Webcam"": ""FHD webcam"", ""Ram"": ""16GB Onboard LPDDR5x ( 1 Khe cắm / Không nâng cấp được )"", ""Lưu trữ"": ""512GB SSD M.2 NVMe ( 1 x M.2 2280, 1 x M.2 2230 )"", ""Cổng kết nối"": ""2 x USB 3.2\n2 x Thunderbolt 4\nAudio combo\n1 x HDMI"", ""Âm thanh"": ""Dolby Atmos"", ""Kết nối không dây"": ""Wi-Fi 6E (802.11ax) , Bluetooth 5.3"", ""Bàn phím"": ""Bàn phím thường , không phím số , Có LED"", ""Hệ điều hành"": ""Windows 11 Home"", ""Kích thước"": ""31.20 x 22.32 x 1.49 ~ 1.64 cm (12.28\"" x 8.79\"" x 0.59\"" ~ 0.65\"")"", ""Pin"": ""3 cell 63 Wh , Pin liền"", ""Khối lượng"": ""1.3 kg"", ""Bảo mật"": ""Vân tay, Khuôn mặt"", ""Đèn LED trên máy"": ""không đèn""}"
https://phongvu.vn/laptop-msi-prestige-14-ai-studio-c1udxg-058vn--s240903892,Laptop Msi Prestige 14 AI Studio C1UDXG-058VN (Ultra 7-155H/ GeForce RTX™ 3050/ 16GB/ 1TB/ Win 11 Home),28990000,240903892,Laptop,{}
https://phongvu.vn/laptop-asus-vivobook-s14-s3407ca-sf913w--s260302512,Laptop Asus Vivobook S14 S3407CA-SF913W (Ultra 5-225H/ 16GB/ 512GB/ Win 11 Home),25290000,260302512,Laptop,"{""Thương hiệu"": ""Asus"", ""Bảo hành"": ""24 tháng"", ""Series model"": ""ASUS Vivobook"", ""Tên"": ""Vivobook S14 S3407CA-SF913W"", ""Part-number"": ""90NB16J2-M00AC0"", ""Màu sắc"": ""Xám"", ""Nhu cầu"": ""Văn phòng"", ""CPU"": ""Intel® Core™ Ultra 5-225H ( 2.5 GHz - 4.9 GHz / 18MB / 14 nhân, 14 luồng ), Intel AI"", ""NPU"": ""Intel® AI Boost 13 TOPS"", ""Chip đồ họa"": ""Intel® Graphics"", ""Màn hình"": ""14\"" ( 1920 x 1200 ) WUXGA 16:10 , OLED , 60Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình gương"", ""Webcam"": ""FHD webcam"", ""Ram"": ""16GB Onboard DDR5 5600MHz ( 1 Khe cắm / Không nâng cấp được )"", ""Lưu trữ"": ""512GB SSD M.2 NVMe ( 1 x M.2 2280 )"", ""Cổng kết nối"": ""2 x USB Type C / DisplayPort / Power Delivery\n2 x USB 3.2\nAudio combo\n1 x HDMI"", ""Kết nối không dây"": ""WiFi 802.11ax (Wifi 6) , Bluetooth 5.3"", ""Bàn phím"": ""Bàn phím Chiclet với phím Copilot , không phím số , LED"", ""Hệ điều hành"": ""Windows 11 Home"", ""Kích thước"": ""31.52 x 22.34 x 1.59 ~ 1.79 cm"", ""Pin"": ""4 cell 70 Wh , Pin liền"", ""Khối lượng"": ""1.4 kg"", ""Chất liệu"": ""Vỏ nhôm + nhựa"", ""Bảo mật"": ""Khuôn mặt"", ""Đèn LED trên máy"": ""không đèn"", ""Trong hộp có gì"": ""65W Adapter, dây nguồn""}"
https://phongvu.vn/laptop-asus-tuf-gaming-f16-fx608jhr-rv037w--s250637347,Laptop Asus TUF Gaming F16 FX608JHR-RV037W (i7-14650HX/ GeForce RTX™ 5050/ 16GB/ 1TB/ Win 11 Home),37290000,250637347,Laptop,"{""Thương hiệu"": ""Asus"", ""Bảo hành"": ""24 tháng"", ""Series model"": ""ASUS TUF Gaming"", ""Tên"": ""TUF Gaming F16 FX608JHR-RV037W"", ""Part-number"": ""90NR0NA1-M001V0"", ""Màu sắc"": ""Xám"", ""Nhu cầu"": ""Gaming"", ""CPU"": ""Intel® Core™ i7-14650HX ( 2.2 GHz - 5.2 GHz / 30MB / 16 nhân, 24 luồng ),"", ""Chip đồ họa"": ""GeForce RTX™ 5050 8GB GDDR7 115W , 440 AI TOPs ) Intel® Graphics"", ""Màn hình"": ""16\"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 165Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync"", ""Webcam"": ""FHD webcam"", ""Ram"": ""1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB )"", ""Lưu trữ"": ""1TB SSD M.2 NVMe ( 2 x M.2 NVMe )"", ""Cổng kết nối"": ""1 x USB Type C / DisplayPort / Power Delivery\n3 x USB 3.2\n1 x Thunderbolt 4\nAudio combo\n1 x HDMI\nLAN 1 Gb/s"", ""Âm thanh"": ""Dolby Atmos"", ""Kết nối không dây"": ""Wi-Fi 6E (802.11ax) , Bluetooth 5.3"", ""Bàn phím"": ""Bàn phím Chiclet với phím Copilot , có phím số , RGB"", ""Hệ điều hành"": ""Windows 11 Home"", ""Kích thước"": ""35.4 x 26.9 x 1.79 ~ 2.73 cm"", ""Pin"": ""4 cell 90 Wh , Pin liền"", ""Khối lượng"": ""2.2 kg"", ""Bảo mật"": ""Khuôn mặt"", ""Đèn LED trên máy"": ""không đèn""}"
https://phongvu.vn/laptop-msi-cyborg-15-a13vek-2089vn--s251100925,Laptop Msi Cyborg 15 A13VEK-2089VN (Core i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home),30990000,251100925,Laptop,{}
https://phongvu.vn/laptop-acer-aspire-lite-15-al15-42p-r08m--s250906259,Laptop Acer Aspire Lite AL15-42P-R08M (Ryzen 7 7730U/ 16GB/ 512GB/ Win 11 Home SL + Office),17490000,250906259,Laptop,"{""Thương hiệu"": ""Acer"", ""Bảo hành"": ""12 tháng"", ""Series model"": ""Acer Aspire"", ""Tên"": ""Aspire Lite AL15-42P-R08M"", ""Part-number"": ""NX.D3QSV.001"", ""Màu sắc"": ""Bạc"", ""Nhu cầu"": ""Văn phòng"", ""CPU"": ""AMD Ryzen™ 7 7730U ( 2.0 GHz - 4.5 GHz / 16MB / 8 nhân, 16 luồng ), AMD"", ""Chip đồ họa"": ""AMD Radeon™ Graphics"", ""Màn hình"": ""15.6\"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView"", ""Webcam"": ""FHD webcam"", ""Ram"": ""1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"", ""Lưu trữ"": ""512GB SSD M.2 NVMe ( 1 x M.2 NVMe )"", ""Cổng kết nối"": ""1 x USB Type C / DisplayPort / Power Delivery\n3 x USB 3.2\n1 x micro SD card slot\nAudio combo\n1 x HDMI"", ""Kết nối không dây"": ""WiFi 802.11ax (Wifi 6) , Bluetooth 5.1"", ""Bàn phím"": ""Có phím Copilot , có phím số , không đèn"", ""Hệ điều hành"": ""Windows 11 Home SL + Office Home & Student 2024"", ""Kích thước"": ""358.6 x 232.7 x 18.95 mm"", ""Pin"": ""3 cell 58 Wh , Pin liền"", ""Khối lượng"": ""1.7 kg"", ""Chất liệu"": ""Vỏ Plastic"", ""Đèn LED trên máy"": ""không đèn"", ""Trong hộp có gì"": ""Cáp + sạc""}"
https://phongvu.vn/laptop-asus-tuf-gaming-f16-fx608jh-rv039w--s250712448,Laptop Asus TUF Gaming F16 FX608JH-RV039W (i5-13450HX/ GeForce RTX™ 5050/ 16GB/ 1TB/ Win 11 Home),32890000,250712448,Laptop,{}
https://phongvu.vn/laptop-hp-probook-440-g11-a74bhpt--s240704439,Laptop HP Probook 440 G11 - A74BHPT (Ultra 7-155U/ 16GB/ 512GB/ Win 11 Home),29390000,240704439,Laptop,{}
